Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2010-05-31,2,2,2,2
2010-06-30,6.8,6.8,6.8,6.8
2010-07-30,-6.1,-6.1,-6.1,-6.1
2010-08-31,-1.8,-1.8,-1.8,-1.8
2010-09-30,13.1,13.1,13.1,13.1
2010-10-29,-1.6,-1.6,-1.6,-1.6
2010-11-30,-1.4,-1.4,-1.4,-1.4
2010-12-31,-4.2,-4.2,-4.2,-4.2
2011-01-31,-6.4,-6.4,-6.4,-6.4
2011-02-28,3.5,3.5,3.5,3.5
2011-03-31,15.3,15.3,15.3,15.3
2011-04-29,-9.4,-9.4,-9.4,-9.4
2011-05-31,2.6,2.6,2.6,2.6
2011-06-30,1.1,1.1,1.1,1.1
2011-07-29,-6,-6,-6,-6
2011-08-31,4.3,4.3,4.3,4.3
2011-09-30,13,13,13,13
2011-10-31,-2.4,-2.4,-2.4,-2.4
2011-11-30,0.7,0.7,0.7,0.7
2011-12-30,-4.9,-4.9,-4.9,-4.9
2012-01-31,-5.1,-5.1,-5.1,-5.1
2012-02-29,-1,-1,-1,-1
2012-03-30,10.7,10.7,10.7,10.7
2012-04-30,-7.5,-7.5,-7.5,-7.5
2012-05-31,4.5,4.5,4.5,4.5
2012-06-29,-2,-2,-2,-2
2012-07-31,-2.3,-2.3,-2.3,-2.3
2012-08-31,-0.8,-0.8,-0.8,-0.8
2012-09-28,6.1,6.1,6.1,6.1
2012-10-31,7.7,7.7,7.7,7.7
2012-11-30,-4.8,-4.8,-4.8,-4.8
2012-12-31,-14.2,-14.2,-14.2,-14.2
2013-01-31,5.4,5.4,5.4,5.4
2013-02-28,-2.8,-2.8,-2.8,-2.8
2013-03-29,9.2,9.2,9.2,9.2
2013-04-30,-2.3,-2.3,-2.3,-2.3
2013-05-31,-0.7,-0.7,-0.7,-0.7
2013-06-28,2.8,2.8,2.8,2.8
2013-07-31,1.5,1.5,1.5,1.5
2013-08-30,-4.5,-4.5,-4.5,-4.5
2013-09-30,6,6,6,6
2013-10-31,-6.2,-6.2,-6.2,-6.2
2013-12-31,-9.7,-9.7,-9.7,-9.7
2014-01-31,2.9,2.9,2.9,2.9
2014-02-28,-1.8,-1.8,-1.8,-1.8
2014-03-31,9.4,9.4,9.4,9.4
2014-04-30,-2.3,-2.3,-2.3,-2.3
2014-05-30,-1.7,-1.7,-1.7,-1.7
2014-06-30,-0.1,-0.1,-0.1,-0.1
2014-07-31,2,2,2,2
2014-08-29,-8.5,-8.5,-8.5,-8.5
2014-09-30,16.5,16.5,16.5,16.5
2014-10-31,3.5,3.5,3.5,3.5
2014-11-28,-7.5,-7.5,-7.5,-7.5
2014-12-31,-2.3,-2.3,-2.3,-2.3
2015-01-30,-3.1,-3.1,-3.1,-3.1
2015-02-27,1.3,1.3,1.3,1.3
2015-03-31,13.4,13.4,13.4,13.4
2015-04-30,-9.1,-9.1,-9.1,-9.1
2015-05-29,-1.3,-1.3,-1.3,-1.3
2015-06-30,4.7,4.7,4.7,4.7
2015-07-31,-1.3,-1.3,-1.3,-1.3
2015-08-31,-7.1,-7.1,-7.1,-7.1
2015-09-30,15.1,15.1,15.1,15.1
2015-10-30,2,2,2,2
2015-11-30,-2.6,-2.6,-2.6,-2.6
2015-12-31,-3.6,-3.6,-3.6,-3.6
2016-01-29,-8,-8,-8,-8
2016-02-29,6.8,6.8,6.8,6.8
2016-03-31,6.8,6.8,6.8,6.8
2016-04-29,-3.1,-3.1,-3.1,-3.1
2016-05-31,-3.6,-3.6,-3.6,-3.6
2016-06-30,7.3,7.3,7.3,7.3
2016-07-29,-10.1,-10.1,-10.1,-10.1
2016-08-31,3.3,3.3,3.3,3.3
2016-09-30,10.4,10.4,10.4,10.4
2016-10-31,-2.5,-2.5,-2.5,-2.5
2016-11-30,1.9,1.9,1.9,1.9
2016-12-30,-4.3,-4.3,-4.3,-4.3
2017-01-31,-1.9,-1.9,-1.9,-1.9
2017-02-28,-0.9,-0.9,-0.9,-0.9
2017-03-31,17.6,17.6,17.6,17.6
2017-04-28,-13.3,-13.3,-13.3,-13.3
2017-05-31,5.5,5.5,5.5,5.5
